grandprix,year,driver_name,driver_code,driver_number,track,track_type,wet_dry,fastest_lap_time,avg_lap_time,avg_sector_1_time,avg_sector_2_time,avg_sector_3_time,pitstops,grid_position,finished_position
Japanese Grand Prix,2025,Charles LECLERC,LEC,16,Suzuka,circuit,dry,91.469,92.78623529,33.05015686,42.08061538,18.08288462,1,4,4
Japanese Grand Prix,2025,Lance STROLL,STR,18,Suzuka,circuit,dry,92.052,93.98432653,33.96119608,42.45309804,18.36627451,2,20,20
Japanese Grand Prix,2025,Yuki TSUNODA,TSU,22,Suzuka,circuit,dry,91.871,93.48907843,33.35578431,42.33184615,18.23113462,1,15,12
Japanese Grand Prix,2025,Alexander ALBON,ALB,23,Suzuka,circuit,dry,91.125,93.15309804,33.12455769,42.32348077,18.13973077,1,9,9
Japanese Grand Prix,2025,Nico HULKENBERG,HUL,27,Suzuka,circuit,dry,92.572,93.93360784,33.42836538,42.66269231,18.23744231,1,16,16
Japanese Grand Prix,2025,Liam LAWSON,LAW,30,Suzuka,circuit,dry,92.043,93.96113725,33.57692,42.52732692,18.27346154,1,14,17
Japanese Grand Prix,2025,Esteban OCON,OCO,31,Suzuka,circuit,dry,91.967,93.93772549,33.36805769,42.65407692,18.31744231,1,18,18
Japanese Grand Prix,2025,Lewis HAMILTON,HAM,44,Suzuka,circuit,dry,91.406,93.01027451,33.03615686,42.20719231,18.15284615,1,8,7
Japanese Grand Prix,2025,Carlos SAINZ,SAI,55,Suzuka,circuit,dry,91.106,93.80290196,33.45859615,42.51855769,18.19411538,1,12,14
Japanese Grand Prix,2025,George RUSSELL,RUS,63,Suzuka,circuit,dry,91.357,92.81270588,32.82382353,42.24669231,18.14707692,1,5,5
Japanese Grand Prix,2025,Oscar PIASTRI,PIA,81,Suzuka,circuit,dry,91.039,92.54107843,32.787,42.01538462,18.13280769,1,3,3
Japanese Grand Prix,2025,Oliver BEARMAN,BEA,87,Suzuka,circuit,dry,92.006,93.44382353,33.13576923,42.44169231,18.27325,1,10,10
Bahrain Grand Prix,2025,Max VERSTAPPEN,VER,1,Sakhir,circuit,dry,96.167,100.5553704,32.38776786,43.749125,25.11226786,2,7,6
Bahrain Grand Prix,2025,Lando NORRIS,NOR,4,Sakhir,circuit,dry,95.728,99.55238889,32.59780357,43.43991071,24.9495,2,6,3
Bahrain Grand Prix,2025,Gabriel BORTOLETO,BOR,5,Sakhir,circuit,dry,98.006,100.4819815,32.53848214,44.01628571,25.177375,2,18,18
Bahrain Grand Prix,2025,Isack HADJAR,HAD,6,Sakhir,circuit,dry,96.952,100.9381111,32.69435714,43.99432143,24.87625,2,12,13
Bahrain Grand Prix,2025,Jack DOOHAN,DOO,7,Sakhir,circuit,dry,96.682,100.9439444,32.69358182,43.76098214,25.11446429,2,11,14
Bahrain Grand Prix,2025,Pierre GASLY,GAS,10,Sakhir,circuit,dry,96.531,100.6915556,32.6402037,43.62223214,25.09392857,2,5,7
Bahrain Grand Prix,2025,Kimi ANTONELLI,ANT,12,Sakhir,circuit,dry,96.69,99.89139623,32.64476786,43.98510714,24.87169643,3,4,11
